title,text,label
Congress trying to hide fact that latest I-T notice follows HC order: BJP,Congress trying to hide fact that latest I-T notice follows HC order: BJP,1
"10 lakh each for info on B'luru cafe bomber, aide, says NIA","10 lakh each for info on B'luru cafe bomber, aide, says NIA",1
Mukhtar Ansari funeral: Mortal remains of gangster-turned-politician buried near his parents' graves,Mukhtar Ansari funeral: Mortal remains of gangster-turned-politician buried near his parents' graves,1
Employee accuses Cadila exec of sexual harassment,Employee accuses Cadila exec of sexual harassment,1
Navy rescues hijacked Iranian vessel with Pakistani crew,Navy rescues hijacked Iranian vessel with Pakistani crew,1
BSEB Class 10 Result,BSEB Class 10 Result,1
Congress announces K V Gowtham as its Kolar Lok Sabha candidate,Congress announces K V Gowtham as its Kolar Lok Sabha candidate,1
"Spy, violinist, cyclist, activist: IIM-A sees an eclectic bunch","Spy, violinist, cyclist, activist: IIM-A sees an eclectic bunch",1
Congress says 'got two more income tax notices last night',Congress says 'got two more income tax notices last night',1
ED arrests 3 members of banned PFI in money-laundering case,ED arrests 3 members of banned PFI in money-laundering case,1
"Cash-strapped Cong books Puri resort for meeting, seeks Rs 50k each from shortlisted nominees","Cash-strapped Cong books Puri resort for meeting, seeks Rs 50k each from shortlisted nominees",1
Rising Sun BrahMos Warriors showcases long-range targeting capabilities above Andaman and Nicobar Islands,Rising Sun BrahMos Warriors showcases long-range targeting capabilities above Andaman and Nicobar Islands,1
75% of JEE(M) candidates taking both shots to maximise scores,75% of JEE(M) candidates taking both shots to maximise scores,1
How to Watch IPL in USA,How to Watch IPL in USA,1
"J&K: Kharge, Rahul Gandhi, Sonia Gandhi, KC Venugopal among 27 star Congress campaigners for LS polls","J&K: Kharge, Rahul Gandhi, Sonia Gandhi, KC Venugopal among 27 star Congress campaigners for LS polls",1
"Odisha: Two former MLAs, one MP quits Naveen Patnaik's BJD","Odisha: Two former MLAs, one MP quits Naveen Patnaik's BJD",1
Elections 2024,Elections 2024,1
Team with Most Wins in IPL,Team with Most Wins in IPL,1
Virat Kohli,Virat Kohli,1
"59k child marriages were stopped in '22-23, most in Bihar: Study","59k child marriages were stopped in '22-23, most in Bihar: Study",1
IPL Points Table 2024,IPL Points Table 2024,1
"Tejas MK-1A completes maiden flight, first delivery soon","Tejas MK-1A completes maiden flight, first delivery soon",1
Ukraine seeks India's support for initiative to end Russia war,Ukraine seeks India's support for initiative to end Russia war,1
Congress will usher in 'Rozgar Kranti': Mallikarjun Kharge,Congress will usher in 'Rozgar Kranti': Mallikarjun Kharge,1
Historic collaboration: World famous King's College now opens its wings in North India in Gurugram,Historic collaboration: World famous King's College now opens its wings in North India in Gurugram,1
"For unity in Covid fight, called for clanging utensils, despite ridicule: PM Modi","For unity in Covid fight, called for clanging utensils, despite ridicule: PM Modi",1
Irfan Pathan,Irfan Pathan,1
Lok Sabha Election Schedule,Lok Sabha Election Schedule,1
"'What India is accomplishing in space is astonishing', European space agency praises Isro","'What India is accomplishing in space is astonishing', European space agency praises Isro",1
"Received 11 I-T notices in last 72 hours, says TMC's Saket Gokhale as party moves poll panel","Received 11 I-T notices in last 72 hours, says TMC's Saket Gokhale as party moves poll panel",1
TOI’s RTE Health Summit on 5th April. Know more.,TOI’s RTE Health Summit on 5th April. Know more.,1
CPI receives I-T dept notice for 11 crore dues,CPI receives I-T dept notice for 11 crore dues,1
IPL Match Full Schedule,IPL Match Full Schedule,1
"President Droupadi Murmu confers Bharat Ratna awards on LK Advani, Chaudhary Charan Singh, three others","President Droupadi Murmu confers Bharat Ratna awards on LK Advani, Chaudhary Charan Singh, three others",1
"'CBI, ED should think ... ': Rahul Gandhi warns probe agencies of 'strong action' whenever BJP government changes","'CBI, ED should think ... ': Rahul Gandhi warns probe agencies of 'strong action' whenever BJP government changes",1
ED files first chargesheet in Delhi Jal Board money-laundering case,ED files first chargesheet in Delhi Jal Board money-laundering case,1
Ex-DSP: Had to quit after recommending Pota against don,Ex-DSP: Had to quit after recommending Pota against don,1
"UN on Kejriwal, Congress: Hope everyone's civil & political rights protected","UN on Kejriwal, Congress: Hope everyone's civil & political rights protected",1
Afspa extended in 4 Assam dists by 6 months,Afspa extended in 4 Assam dists by 6 months,1
IPL Teams Players List,IPL Teams Players List,1
RK Mission names Swami Gautamananda as interim chief,RK Mission names Swami Gautamananda as interim chief,1
Delhi minister Kailash Gahlot reaches ED office after summons in excise policy case,Delhi minister Kailash Gahlot reaches ED office after summons in excise policy case,1
Markets shut in ancestral town of Ansari,Markets shut in ancestral town of Ansari,1
IPL Match Live Score,IPL Match Live Score,1
Bharat Ratna award: President Droupadi Murmu confers highest civilian honour on 5 luminaries,Bharat Ratna award: President Droupadi Murmu confers highest civilian honour on 5 luminaries,1
BJP announces  manifesto committee for the Lok Sabha election,BJP announces  manifesto committee for the Lok Sabha election,1
"Navy intercepts hijacked Iranian vessel, operation under way","Navy intercepts hijacked Iranian vessel, operation under way",1
Lok Sabha elections: PM Modi to kick off UP election campaign with rally in Meerut,Lok Sabha elections: PM Modi to kick off UP election campaign with rally in Meerut,1
